month_num,month,total_volume,average_volume,total_workload_hrs,average_workload_hrs,total_fte_requirement_raw,average_required_fte_raw,total_fte_requirement_shrinkage_adjusted,average_required_fte_shrinkage_adjusted,total_fte_delta,average_fte_delta
1,January,101420.07,3271.62,13510.28,435.82,1688.79,54.48,2418.06,78.0,729.27,23.52
2,February,91173.42,3256.19,12072.36,431.16,1509.06,53.9,2156.41,77.01,647.35,23.12
3,March,103536.14,3339.88,13732.07,442.97,1716.51,55.37,2463.42,79.47,746.91,24.09
4,April,107612.44,3587.08,14348.92,478.3,1793.61,59.79,2566.72,85.56,773.11,25.77
5,May,113350.48,3656.47,15055.8,485.67,1881.95,60.71,2684.28,86.59,802.33,25.88
6,June,113151.0,3771.7,15102.19,503.41,1887.78,62.93,2735.92,91.2,848.14,28.27
7,July,96462.33,3111.69,12819.32,413.53,1602.41,51.69,2323.32,74.95,720.91,23.26
8,August,93528.69,3017.05,12412.8,400.41,1551.6,50.05,2243.16,72.36,691.5600000000001,22.31
9,September,109777.3,3659.24,14645.84,488.19,1830.73,61.02,2616.08,87.2,785.35,26.18
10,October,118060.54000000001,3808.4,15719.09,507.07,1964.9,63.38,2803.81,90.45,838.91,27.06
11,November,116129.12,3870.97,15508.08,516.94,1938.5,64.62,2783.2,92.77,844.7,28.16
12,December,133194.61,4296.6,17670.49,570.02,2208.8,71.25,3287.91,106.06,1079.11,34.81
