date,year,month_num,month_name,year_month,week_of_year,dow_num,day_of_week,scenario,available_fte,required_fte,staffing_gap,coverage_pct,risk_level
2026-01-01,2026,1,January,2026-January,1,3,Thursday,baseline,76.0,83.88,-7.88,90.61,Moderate Risk
2026-01-01,2026,1,January,2026-January,1,3,Thursday,hiring,87.4,83.88,3.52,104.2,Low Risk
2026-01-01,2026,1,January,2026-January,1,3,Thursday,attrition,64.6,83.88,-19.28,77.01,High Risk
2026-01-02,2026,1,January,2026-January,1,4,Friday,baseline,76.0,76.07,-0.07,99.91,Low Risk
2026-01-02,2026,1,January,2026-January,1,4,Friday,hiring,87.4,76.07,11.33,114.89,Surplus
2026-01-02,2026,1,January,2026-January,1,4,Friday,attrition,64.6,76.07,-11.47,84.92,High Risk
2026-01-03,2026,1,January,2026-January,1,5,Saturday,baseline,76.0,58.59,17.41,129.71,Surplus
2026-01-03,2026,1,January,2026-January,1,5,Saturday,hiring,87.4,58.59,28.81,149.17,Surplus
2026-01-03,2026,1,January,2026-January,1,5,Saturday,attrition,64.6,58.59,6.01,110.26,Surplus
2026-01-04,2026,1,January,2026-January,1,6,Sunday,baseline,76.0,41.14,34.86,184.74,Surplus
2026-01-04,2026,1,January,2026-January,1,6,Sunday,hiring,87.4,41.14,46.26,212.45,Surplus
2026-01-04,2026,1,January,2026-January,1,6,Sunday,attrition,64.6,41.14,23.46,157.02,Surplus
2026-01-05,2026,1,January,2026-January,2,0,Monday,baseline,67.0,102.62,-35.62,65.29,Critical
2026-01-05,2026,1,January,2026-January,2,0,Monday,hiring,77.05,102.62,-25.57,75.08,High Risk
2026-01-05,2026,1,January,2026-January,2,0,Monday,attrition,56.95,102.62,-45.67,55.5,Critical
2026-01-06,2026,1,January,2026-January,2,1,Tuesday,baseline,67.0,97.49,-30.49,68.72,Critical
2026-01-06,2026,1,January,2026-January,2,1,Tuesday,hiring,77.05,97.49,-20.44,79.03,High Risk
2026-01-06,2026,1,January,2026-January,2,1,Tuesday,attrition,56.95,97.49,-40.54,58.42,Critical
2026-01-07,2026,1,January,2026-January,2,2,Wednesday,baseline,67.0,89.38,-22.38,74.96,Critical
2026-01-07,2026,1,January,2026-January,2,2,Wednesday,hiring,77.05,89.38,-12.33,86.2,Moderate Risk
2026-01-07,2026,1,January,2026-January,2,2,Wednesday,attrition,56.95,89.38,-32.43,63.72,Critical
2026-01-08,2026,1,January,2026-January,2,3,Thursday,baseline,67.0,83.93,-16.93,79.83,High Risk
2026-01-08,2026,1,January,2026-January,2,3,Thursday,hiring,77.05,83.93,-6.88,91.8,Moderate Risk
2026-01-08,2026,1,January,2026-January,2,3,Thursday,attrition,56.95,83.93,-26.98,67.85,Critical
2026-01-09,2026,1,January,2026-January,2,4,Friday,baseline,67.0,76.13,-9.13,88.01,Moderate Risk
2026-01-09,2026,1,January,2026-January,2,4,Friday,hiring,77.05,76.13,0.92,101.21,Low Risk
2026-01-09,2026,1,January,2026-January,2,4,Friday,attrition,56.95,76.13,-19.18,74.81,Critical
2026-01-10,2026,1,January,2026-January,2,5,Saturday,baseline,67.0,58.65,8.35,114.24,Surplus
2026-01-10,2026,1,January,2026-January,2,5,Saturday,hiring,77.05,58.65,18.4,131.37,Surplus
2026-01-10,2026,1,January,2026-January,2,5,Saturday,attrition,56.95,58.65,-1.7,97.1,Low Risk
2026-01-11,2026,1,January,2026-January,2,6,Sunday,baseline,67.0,41.19,25.81,162.66,Surplus
2026-01-11,2026,1,January,2026-January,2,6,Sunday,hiring,77.05,41.19,35.86,187.06,Surplus
2026-01-11,2026,1,January,2026-January,2,6,Sunday,attrition,56.95,41.19,15.76,138.26,Surplus
2026-01-12,2026,1,January,2026-January,3,0,Monday,baseline,67.14,102.66,-35.52,65.4,Critical
