date,actual_volume,moving_average_forecast,holt_winters_forecast,linear_regression_forecast
2025-10-01,3824,3518.14,4093.96,4185.29
2025-10-02,4000,3512.14,3862.62,3972.93
2025-10-03,3581,3562.43,3495.15,3634.87
2025-10-04,2957,3611.43,2720.56,2925.9
2025-10-05,1979,3669.43,1937.81,2200.17
2025-10-06,4918,3683.57,4706.19,4739.41
2025-10-07,4574,3694.71,4465.99,4518.26
2025-10-08,3829,3690.43,4095.87,4187.5
2025-10-09,3935,3691.14,3864.42,3975.15
2025-10-10,3558,3681.86,3496.78,3637.08
2025-10-11,2722,3678.57,2721.83,2928.12
2025-10-12,2066,3645.0,1938.72,2202.38
2025-10-13,4695,3657.43,4708.39,4741.63
2025-10-14,4467,3625.57,4468.08,4520.48
2025-10-15,4253,3610.29,4097.78,4189.72
2025-10-16,3961,3670.86,3866.23,3977.36
2025-10-17,3767,3674.57,3498.42,3639.3
2025-10-18,2513,3704.43,2723.1,2930.34
2025-10-19,2010,3674.57,1939.62,2204.6
2025-10-20,4828,3666.57,4710.59,4743.84
2025-10-21,4489,3685.57,4470.17,4522.7
2025-10-22,4189,3688.71,4099.7,4191.94
2025-10-23,4151,3679.57,3868.03,3979.58
2025-10-24,3695,3706.71,3500.05,3641.52
2025-10-25,2799,3696.43,2724.37,2932.55
2025-10-26,1899,3737.29,1940.53,2206.82
2025-10-27,4747,3721.43,4712.79,4746.06
2025-10-28,4824,3709.86,4472.25,4524.91
2025-10-29,4030,3757.71,4101.61,4194.16
2025-10-30,3866,3735.0,3869.84,3981.8
2025-10-31,3841,3694.29,3501.69,3643.74
2025-11-01,2822,3715.14,2725.65,2969.88
2025-11-02,1889,3718.43,1941.44,2244.15
2025-11-03,4326,3717.0,4714.99,4783.39
2025-11-04,4874,3656.86,4474.34,4562.24
2025-11-05,4321,3664.0,4103.53,4231.48
2025-11-06,3833,3705.57,3871.65,4019.13
2025-11-07,3980,3700.86,3503.32,3681.07
2025-11-08,2803,3720.71,2726.92,2972.1
2025-11-09,1986,3718.0,1942.34,2246.36
2025-11-10,5023,3731.86,4717.19,4785.61
2025-11-11,4826,3831.43,4476.44,4564.46
2025-11-12,4211,3824.57,4105.45,4233.7
2025-11-13,4195,3808.86,3873.46,4021.34
2025-11-14,3692,3860.57,3504.96,3683.28
2025-11-15,2801,3819.43,2728.19,2974.32
2025-11-16,2203,3819.14,1943.25,2248.58
2025-11-17,5241,3850.14,4719.4,4787.83
2025-11-18,4640,3881.29,4478.53,4566.68
2025-11-19,4333,3854.71,4107.37,4235.92
2025-11-20,3858,3872.14,3875.27,4023.56
2025-11-21,3426,3824.0,3506.6,3685.5
2025-11-22,2960,3786.0,2729.47,2976.54
2025-11-23,2194,3808.71,1944.16,2250.8
2025-11-24,4731,3807.43,4721.6,4790.04
2025-11-25,4634,3734.57,4480.62,4568.9
2025-11-26,4062,3733.71,4109.29,4238.14
2025-11-27,3803,3695.0,3877.08,4025.78
2025-11-28,3721,3687.14,3508.24,3687.72
2025-11-29,2882,3729.29,2730.74,2978.75
2025-11-30,2139,3718.14,1945.07,2253.02
2025-12-01,5385,3710.29,4723.81,5091.06
2025-12-02,4959,3803.71,4482.71,4869.91
2025-12-03,4941,3850.14,4111.21,4539.15
2025-12-04,4398,3975.71,3878.89,4326.79
2025-12-05,3768,4060.71,3509.87,3988.73
2025-12-06,3156,4067.43,2732.02,3279.77
2025-12-07,2390,4106.57,1945.98,2554.03
2025-12-08,5428,4142.43,4726.02,5093.27
2025-12-09,5450,4148.57,4484.81,4872.13
2025-12-10,4926,4218.71,4113.13,4541.37
2025-12-11,4283,4216.57,3880.7,4329.01
2025-12-12,3995,4200.14,3511.51,3990.95
2025-12-13,2939,4232.57,2733.3,3281.98
2025-12-14,2327,4201.57,1946.89,2556.25
2025-12-15,5394,4192.57,4728.22,5095.49
2025-12-16,4908,4187.71,4486.9,4874.35
2025-12-17,5218,4110.29,4115.05,4543.59
2025-12-18,4162,4152.0,3882.52,4331.23
2025-12-19,4432,4134.71,3513.16,3993.17
2025-12-20,3228,4197.14,2734.57,3284.2
2025-12-21,2313,4238.43,1947.8,2558.46
2025-12-22,5306,4236.43,4730.43,5097.71
2025-12-23,5151,4223.86,4489.0,4876.56
2025-12-24,4700,4258.57,4116.97,4545.8
2025-12-25,4188,4184.57,3884.33,4333.45
2025-12-26,3916,4188.29,3514.8,3995.38
2025-12-27,3125,4114.57,2735.85,3286.42
2025-12-28,2262,4099.86,1948.71,2560.68
2025-12-29,5071,4092.57,4732.64,5099.93
2025-12-30,5047,4059.0,4491.1,4878.78
2025-12-31,4811,4044.14,4118.9,4548.02
