date,month,dow_num,day_of_week,total_volume,total_workload_hours,avg_aht
2024-01-01,January,0,Monday,4079,468.61,488.6
2024-01-02,January,1,Tuesday,3972,458.79,487.0
2024-01-03,January,2,Wednesday,3342,380.71,479.6
2024-01-04,January,3,Thursday,3179,365.95,488.6
2024-01-05,January,4,Friday,3024,349.18,487.8
2024-01-06,January,5,Saturday,2288,263.11,486.6
2024-01-07,January,6,Sunday,1687,196.53,492.6
2024-01-08,January,0,Monday,3640,440.86,501.8
2024-01-09,January,1,Tuesday,3787,433.53,483.2
2024-01-10,January,2,Wednesday,3436,394.05,479.4
2024-01-11,January,3,Thursday,3286,392.87,487.8
2024-01-12,January,4,Friday,3000,342.66,461.6
2024-01-13,January,5,Saturday,2220,271.64,495.2
2024-01-14,January,6,Sunday,1736,197.25,467.4
2024-01-15,January,0,Monday,3996,457.44,465.6
2024-01-16,January,1,Tuesday,3756,423.89,480.2
2024-01-17,January,2,Wednesday,3586,399.97,466.8
2024-01-18,January,3,Thursday,3363,382.82,474.8
2024-01-19,January,4,Friday,2950,330.82,474.4
2024-01-20,January,5,Saturday,2267,261.99,475.4
2024-01-21,January,6,Sunday,1571,182.68,480.6
2024-01-22,January,0,Monday,4140,473.45,485.8
2024-01-23,January,1,Tuesday,3685,431.18,482.8
2024-01-24,January,2,Wednesday,3417,391.16,464.4
2024-01-25,January,3,Thursday,3454,385.71,457.4
2024-01-26,January,4,Friday,3002,343.03,469.4
2024-01-27,January,5,Saturday,2155,247.66,484.6
2024-01-28,January,6,Sunday,1654,193.59,480.8
2024-01-29,January,0,Monday,3901,444.9,466.0
2024-01-30,January,1,Tuesday,3667,406.07,460.6
2024-01-31,January,2,Wednesday,3458,397.32,485.2
2024-02-01,February,3,Thursday,3347,368.87,466.8
2024-02-02,February,4,Friday,3020,332.09,460.4
2024-02-03,February,5,Saturday,2426,273.37,476.0
2024-02-04,February,6,Sunday,1576,187.45,494.4
2024-02-05,February,0,Monday,4239,490.02,465.2
2024-02-06,February,1,Tuesday,3612,422.13,474.8
2024-02-07,February,2,Wednesday,3411,393.74,478.4
2024-02-08,February,3,Thursday,3273,374.33,475.8
2024-02-09,February,4,Friday,2882,335.17,473.6
2024-02-10,February,5,Saturday,2356,267.36,471.0
2024-02-11,February,6,Sunday,1702,195.98,471.8
2024-02-12,February,0,Monday,4118,485.3,490.6
2024-02-13,February,1,Tuesday,3720,410.97,455.6
2024-02-14,February,2,Wednesday,3506,414.81,477.0
2024-02-15,February,3,Thursday,3239,368.44,469.0
2024-02-16,February,4,Friday,2956,343.15,481.2
2024-02-17,February,5,Saturday,2261,261.7,466.4
2024-02-18,February,6,Sunday,1603,191.24,496.4
2024-02-19,February,0,Monday,3813,457.74,485.8
2024-02-20,February,1,Tuesday,3880,429.29,477.4
2024-02-21,February,2,Wednesday,3412,386.3,462.8
2024-02-22,February,3,Thursday,2861,337.11,487.6
2024-02-23,February,4,Friday,2805,326.96,475.0
2024-02-24,February,5,Saturday,2346,272.03,475.6
2024-02-25,February,6,Sunday,1612,193.44,496.6
2024-02-26,February,0,Monday,4208,476.95,474.0
2024-02-27,February,1,Tuesday,3625,411.54,464.2
2024-02-28,February,2,Wednesday,3342,392.66,477.6
2024-02-29,February,3,Thursday,3316,394.21,488.0
2024-03-01,March,4,Friday,2983,342.34,485.2
2024-03-02,March,5,Saturday,2338,270.18,484.4
2024-03-03,March,6,Sunday,1750,201.81,498.0
2024-03-04,March,0,Monday,3995,458.6,478.8
2024-03-05,March,1,Tuesday,3762,444.22,485.2
2024-03-06,March,2,Wednesday,3579,443.02,495.8
2024-03-07,March,3,Thursday,3311,371.42,479.0
2024-03-08,March,4,Friday,2902,311.23,456.8
2024-03-09,March,5,Saturday,2296,260.56,486.6
2024-03-10,March,6,Sunday,1556,177.25,471.4
2024-03-11,March,0,Monday,4205,472.05,472.6
2024-03-12,March,1,Tuesday,3682,413.35,473.6
2024-03-13,March,2,Wednesday,3635,417.65,474.2
2024-03-14,March,3,Thursday,3285,372.9,480.6
2024-03-15,March,4,Friday,3227,374.5,491.2
2024-03-16,March,5,Saturday,2334,258.36,451.0
2024-03-17,March,6,Sunday,1499,175.62,480.8
2024-03-18,March,0,Monday,4233,479.74,485.2
