date,month,dow_num,day_of_week,total_volume,total_workload_hours,avg_aht,volume_30_days_moving_average,workload_hours_30_days_moving_average,aht_30_days_moving_average
2024-01-01,January,0,Monday,4079,468.61,488.6,,,
2024-01-02,January,1,Tuesday,3972,458.79,487.0,,,
2024-01-03,January,2,Wednesday,3342,380.71,479.6,,,
2024-01-04,January,3,Thursday,3179,365.95,488.6,,,
2024-01-05,January,4,Friday,3024,349.18,487.8,,,
2024-01-06,January,5,Saturday,2288,263.11,486.6,,,
2024-01-07,January,6,Sunday,1687,196.53,492.6,,,
2024-01-08,January,0,Monday,3640,440.86,501.8,,,
2024-01-09,January,1,Tuesday,3787,433.53,483.2,,,
2024-01-10,January,2,Wednesday,3436,394.05,479.4,,,
2024-01-11,January,3,Thursday,3286,392.87,487.8,,,
2024-01-12,January,4,Friday,3000,342.66,461.6,,,
2024-01-13,January,5,Saturday,2220,271.64,495.2,,,
2024-01-14,January,6,Sunday,1736,197.25,467.4,,,
2024-01-15,January,0,Monday,3996,457.44,465.6,,,
2024-01-16,January,1,Tuesday,3756,423.89,480.2,,,
2024-01-17,January,2,Wednesday,3586,399.97,466.8,,,
2024-01-18,January,3,Thursday,3363,382.82,474.8,,,
2024-01-19,January,4,Friday,2950,330.82,474.4,,,
2024-01-20,January,5,Saturday,2267,261.99,475.4,,,
2024-01-21,January,6,Sunday,1571,182.68,480.6,,,
2024-01-22,January,0,Monday,4140,473.45,485.8,,,
2024-01-23,January,1,Tuesday,3685,431.18,482.8,,,
2024-01-24,January,2,Wednesday,3417,391.16,464.4,,,
2024-01-25,January,3,Thursday,3454,385.71,457.4,,,
2024-01-26,January,4,Friday,3002,343.03,469.4,,,
2024-01-27,January,5,Saturday,2155,247.66,484.6,,,
2024-01-28,January,6,Sunday,1654,193.59,480.8,,,
2024-01-29,January,0,Monday,3901,444.9,466.0,,,
2024-01-30,January,1,Tuesday,3667,406.07,460.6,3108.0,357.07,478.56
2024-01-31,January,2,Wednesday,3458,397.32,485.2,3087.3,354.69,478.45
2024-02-01,February,3,Thursday,3347,368.87,466.8,3066.47,351.7,477.77
2024-02-02,February,4,Friday,3020,332.09,460.4,3055.73,350.08,477.13
2024-02-03,February,5,Saturday,2426,273.37,476.0,3030.63,346.99,476.71
2024-02-04,February,6,Sunday,1576,187.45,494.4,2982.37,341.6,476.93
2024-02-05,February,0,Monday,4239,490.02,465.2,3047.4,349.16,476.22
2024-02-06,February,1,Tuesday,3612,422.13,474.8,3111.57,356.68,475.63
2024-02-07,February,2,Wednesday,3411,393.74,478.4,3103.93,355.11,474.85
2024-02-08,February,3,Thursday,3273,374.33,475.8,3086.8,353.14,474.6
2024-02-09,February,4,Friday,2882,335.17,473.6,3068.33,351.18,474.41
2024-02-10,February,5,Saturday,2356,267.36,471.0,3037.33,346.99,473.85
2024-02-11,February,6,Sunday,1702,195.98,471.8,2994.07,342.1,474.19
2024-02-12,February,0,Monday,4118,485.3,490.6,3057.33,349.22,474.03
2024-02-13,February,1,Tuesday,3720,410.97,455.6,3123.47,356.35,473.64
2024-02-14,February,2,Wednesday,3506,414.81,477.0,3107.13,354.93,474.02
2024-02-15,February,3,Thursday,3239,368.44,469.0,3089.9,353.08,473.65
2024-02-16,February,4,Friday,2956,343.15,481.2,3068.9,351.19,474.13
2024-02-17,February,5,Saturday,2261,261.7,466.4,3032.17,347.15,473.85
2024-02-18,February,6,Sunday,1603,191.24,496.4,2987.27,342.5,474.58
2024-02-19,February,0,Monday,3813,457.74,485.8,3038.8,349.02,474.93
2024-02-20,February,1,Tuesday,3880,429.29,477.4,3115.77,357.24,474.82
2024-02-21,February,2,Wednesday,3412,386.3,462.8,3091.5,354.34,474.05
2024-02-22,February,3,Thursday,2861,337.11,487.6,3064.03,351.2,474.21
2024-02-23,February,4,Friday,2805,326.96,475.0,3043.63,349.06,474.57
2024-02-24,February,5,Saturday,2346,272.03,475.6,3006.7,345.27,475.17
2024-02-25,February,6,Sunday,1612,193.44,496.6,2960.37,340.28,476.08
2024-02-26,February,0,Monday,4208,476.95,474.0,3028.8,347.93,475.73
2024-02-27,February,1,Tuesday,3625,411.54,464.2,3094.5,355.19,475.17
2024-02-28,February,2,Wednesday,3342,392.66,477.6,3075.87,353.45,475.56
