year_month,month,total_volume,total_workload_hours,avg_aht,avg_volume,avg_workload_hours,month_num,trend
2024-01,January-2024,96698,11109.42,478.77,623.86,71.67,0,95050.9
2024-02,February-2024,88467,10194.35,476.17,610.12,70.31,1,95747.51
2024-03,March-2024,93440,10768.31,479.97,602.84,69.47,2,96444.12
2024-04,April-2024,101024,11627.29,476.16,673.49,77.52,3,97140.73
2024-05,May-2024,108407,12497.08,477.7,699.4,80.63,4,97837.34
2024-06,June-2024,102546,11841.38,479.49,683.64,78.94,5,98533.95
2024-07,July-2024,91710,10623.09,480.28,591.68,68.54,6,99230.56
2024-08,August-2024,87657,10104.53,477.59,565.53,65.19,7,99927.17
2024-09,September-2024,100996,11728.57,481.33,673.31,78.19,8,100623.78
2024-10,October-2024,113918,13153.42,479.99,734.95,84.86,9,101320.39
2024-11,November-2024,109257,12681.27,481.45,728.38,84.54,10,102017.0
2024-12,December-2024,123647,14181.78,475.62,797.72,91.5,11,102713.61
2025-01,January-2025,99681,11535.92,480.35,643.1,74.43,12,103410.22
2025-02,February-2025,87454,10047.63,477.18,624.67,71.77,13,104106.83
2025-03,March-2025,98547,11262.61,474.97,635.79,72.66,14,104803.44
2025-04,April-2025,105529,12320.23,483.87,703.53,82.13,15,105500.05
2025-05,May-2025,112458,12937.98,478.65,725.54,83.47,16,106196.66
2025-06,June-2025,106818,12395.54,481.49,712.12,82.64,17,106893.27
2025-07,July-2025,93081,10684.67,476.56,600.52,68.93,18,107589.88
2025-08,August-2025,88257,10208.43,477.96,569.4,65.86,19,108286.49
2025-09,September-2025,106941,12316.2,479.25,712.94,82.11,20,108983.11
2025-10,October-2025,114967,13318.27,478.65,741.72,85.92,21,109679.72
2025-11,November-2025,110409,12704.76,480.05,736.06,84.7,22,110376.33
2025-12,December-2025,131577,15182.1,479.57,848.88,97.95,23,111072.94
