date,month,dow_num,day_of_week,total_volume,total_workload_hours,avg_aht,shrinkage_pct,scheduled_fte,available_hours,utilization_pct
2024-01-01,January,0,Monday,4079,468.61,488.6,0.2932,79,446.7,104.9
2024-01-02,January,1,Tuesday,3972,458.79,487.0,0.2887,93,529.21,86.69
2024-01-03,January,2,Wednesday,3342,380.71,479.6,0.3034,58,323.22,117.79
2024-01-04,January,3,Thursday,3179,365.95,488.6,0.2708,66,385.02,95.05
2024-01-05,January,4,Friday,3024,349.18,487.8,0.2832,58,332.6,104.98
2024-01-06,January,5,Saturday,2288,263.11,486.6,0.3231,51,276.18,95.27
2024-01-07,January,6,Sunday,1687,196.53,492.6,0.2861,40,228.45,86.03
2024-01-08,January,0,Monday,3640,440.86,501.8,0.3187,81,441.48,99.86
2024-01-09,January,1,Tuesday,3787,433.53,483.2,0.3053,82,455.72,95.13
2024-01-10,January,2,Wednesday,3436,394.05,479.4,0.2729,78,453.71,86.85
2024-01-11,January,3,Thursday,3286,392.87,487.8,0.3095,82,452.97,86.73
2024-01-12,January,4,Friday,3000,342.66,461.6,0.2982,70,393.01,87.19
2024-01-13,January,5,Saturday,2220,271.64,495.2,0.2932,48,271.41,100.08
2024-01-14,January,6,Sunday,1736,197.25,467.4,0.3037,36,200.53,98.36
2024-01-15,January,0,Monday,3996,457.44,465.6,0.3071,83,460.09,99.42
2024-01-16,January,1,Tuesday,3756,423.89,480.2,0.3106,73,402.61,105.29
2024-01-17,January,2,Wednesday,3586,399.97,466.8,0.3177,73,398.46,100.38
2024-01-18,January,3,Thursday,3363,382.82,474.8,0.3061,69,383.03,99.95
2024-01-19,January,4,Friday,2950,330.82,474.4,0.2794,58,334.36,98.94
2024-01-20,January,5,Saturday,2267,261.99,475.4,0.2929,49,277.18,94.52
2024-01-21,January,6,Sunday,1571,182.68,480.6,0.3441,35,183.65,99.47
2024-01-22,January,0,Monday,4140,473.45,485.8,0.3109,82,452.05,104.73
2024-01-23,January,1,Tuesday,3685,431.18,482.8,0.3355,93,494.39,87.21
2024-01-24,January,2,Wednesday,3417,391.16,464.4,0.3209,76,412.89,94.74
2024-01-25,January,3,Thursday,3454,385.71,457.4,0.3036,59,328.7,117.34
2024-01-26,January,4,Friday,3002,343.03,469.4,0.3045,62,344.97,99.44
2024-01-27,January,5,Saturday,2155,247.66,484.6,0.2995,51,285.8,86.66
2024-01-28,January,6,Sunday,1654,193.59,480.8,0.2739,38,220.73,87.7
2024-01-29,January,0,Monday,3901,444.9,466.0,0.3003,83,464.6,95.76
2024-01-30,January,1,Tuesday,3667,406.07,460.6,0.3182,63,343.63,118.17
2024-01-31,January,2,Wednesday,3458,397.32,485.2,0.291,67,380.02,104.55
2024-02-01,February,3,Thursday,3347,368.87,466.8,0.3062,76,421.83,87.45
2024-02-02,February,4,Friday,3020,332.09,460.4,0.3128,69,379.33,87.55
2024-02-03,February,5,Saturday,2426,273.37,476.0,0.2864,55,313.98,87.07
2024-02-04,February,6,Sunday,1576,187.45,494.4,0.2932,38,214.87,87.24
2024-02-05,February,0,Monday,4239,490.02,465.2,0.2847,90,515.02,95.15
2024-02-06,February,1,Tuesday,3612,422.13,474.8,0.2877,63,359.0,117.58
2024-02-07,February,2,Wednesday,3411,393.74,478.4,0.2807,79,454.6,86.61
2024-02-08,February,3,Thursday,3273,374.33,475.8,0.2865,62,353.9,105.77
2024-02-09,February,4,Friday,2882,335.17,473.6,0.3213,59,320.35,104.63
2024-02-10,February,5,Saturday,2356,267.36,471.0,0.2863,47,268.35,99.63
2024-02-11,February,6,Sunday,1702,195.98,471.8,0.3019,40,223.39,87.73
2024-02-12,February,0,Monday,4118,485.3,490.6,0.2925,99,560.34,86.61
2024-02-13,February,1,Tuesday,3720,410.97,455.6,0.3177,87,474.88,86.54
2024-02-14,February,2,Wednesday,3506,414.81,477.0,0.3197,88,478.93,86.61
2024-02-15,February,3,Thursday,3239,368.44,469.0,0.313,77,423.19,87.06
2024-02-16,February,4,Friday,2956,343.15,481.2,0.3046,59,328.23,104.55
2024-02-17,February,5,Saturday,2261,261.7,466.4,0.2965,40,225.12,116.25
2024-02-18,February,6,Sunday,1603,191.24,496.4,0.2821,28,160.81,118.92
2024-02-19,February,0,Monday,3813,457.74,485.8,0.3292,85,456.14,100.35
2024-02-20,February,1,Tuesday,3880,429.29,477.4,0.2886,72,409.77,104.76
2024-02-21,February,2,Wednesday,3412,386.3,462.8,0.31,80,441.6,87.48
2024-02-22,February,3,Thursday,2861,337.11,487.6,0.3159,52,284.59,118.45
2024-02-23,February,4,Friday,2805,326.96,475.0,0.2917,61,345.65,94.59
2024-02-24,February,5,Saturday,2346,272.03,475.6,0.3156,52,284.71,95.55
2024-02-25,February,6,Sunday,1612,193.44,496.6,0.3115,37,203.8,94.92
2024-02-26,February,0,Monday,4208,476.95,474.0,0.3259,102,550.07,86.71
2024-02-27,February,1,Tuesday,3625,411.54,464.2,0.293,84,475.1,86.62
2024-02-28,February,2,Wednesday,3342,392.66,477.6,0.2807,68,391.3,100.35
2024-02-29,February,3,Thursday,3316,394.21,488.0,0.2924,70,396.26,99.48
2024-03-01,March,4,Friday,2983,342.34,485.2,0.3031,61,340.09,100.66
2024-03-02,March,5,Saturday,2338,270.18,484.4,0.3009,51,285.23,94.72
2024-03-03,March,6,Sunday,1750,201.81,498.0,0.2941,41,231.54,87.16
2024-03-04,March,0,Monday,3995,458.6,478.8,0.2714,83,483.79,94.79
2024-03-05,March,1,Tuesday,3762,444.22,485.2,0.3071,80,443.46,100.17
2024-03-06,March,2,Wednesday,3579,443.02,495.8,0.3296,95,509.5,86.95
2024-03-07,March,3,Thursday,3311,371.42,479.0,0.307,64,354.82,104.68
2024-03-08,March,4,Friday,2902,311.23,456.8,0.3091,48,265.31,117.31
2024-03-09,March,5,Saturday,2296,260.56,486.6,0.3086,40,221.25,117.77
2024-03-10,March,6,Sunday,1556,177.25,471.4,0.306,32,177.66,99.77
2024-03-11,March,0,Monday,4205,472.05,472.6,0.314,90,493.92,95.57
2024-03-12,March,1,Tuesday,3682,413.35,473.6,0.3059,71,394.25,104.84
2024-03-13,March,2,Wednesday,3635,417.65,474.2,0.2953,85,479.2,87.16
2024-03-14,March,3,Thursday,3285,372.9,480.6,0.2881,69,392.97,94.89
2024-03-15,March,4,Friday,3227,374.5,491.2,0.2963,66,371.55,100.79
2024-03-16,March,5,Saturday,2334,258.36,451.0,0.3047,49,272.56,94.79
2024-03-17,March,6,Sunday,1499,175.62,480.8,0.2953,31,174.77,100.49
2024-03-18,March,0,Monday,4233,479.74,485.2,0.3047,73,406.06,118.15
2024-03-19,March,1,Tuesday,3714,453.35,491.8,0.3066,70,388.3,116.75
2024-03-20,March,2,Wednesday,3550,407.93,474.0,0.3125,78,429.0,95.09
2024-03-21,March,3,Thursday,3173,373.92,492.4,0.3192,65,354.02,105.62
2024-03-22,March,4,Friday,2990,344.85,477.0,0.3012,71,396.92,86.88
2024-03-23,March,5,Saturday,2240,264.07,476.8,0.2804,46,264.81,99.72
2024-03-24,March,6,Sunday,1694,189.47,471.4,0.2948,39,220.02,86.11
2024-03-25,March,0,Monday,4290,480.48,468.0,0.3007,73,408.39,117.65
2024-03-26,March,1,Tuesday,3898,464.78,481.0,0.2725,76,442.32,105.08
2024-03-27,March,2,Wednesday,3339,394.08,487.4,0.3208,69,374.92,105.11
