date,queue,volume,aht_seconds
2024-01-01,Claims,1061,458
2024-01-01,Billing,771,300
2024-01-01,Customer Service,1515,313
2024-01-01,Escalations,202,706
2024-01-01,Technical Support,530,666
2024-01-02,Claims,959,442
2024-01-02,Billing,842,289
2024-01-02,Customer Service,1465,357
2024-01-02,Escalations,166,711
2024-01-02,Technical Support,540,636
2024-01-03,Claims,860,422
2024-01-03,Billing,657,311
2024-01-03,Customer Service,1285,360
2024-01-03,Escalations,133,695
2024-01-03,Technical Support,407,610
2024-01-04,Claims,812,473
2024-01-04,Billing,598,313
2024-01-04,Customer Service,1231,330
2024-01-04,Escalations,139,729
2024-01-04,Technical Support,399,598
2024-01-05,Claims,855,452
2024-01-05,Billing,575,301
2024-01-05,Customer Service,1086,347
2024-01-05,Escalations,120,742
2024-01-05,Technical Support,388,597
2024-01-06,Claims,601,425
2024-01-06,Billing,413,294
2024-01-06,Customer Service,866,353
2024-01-06,Escalations,100,743
2024-01-06,Technical Support,308,618
2024-01-07,Claims,405,431
2024-01-07,Billing,373,337
2024-01-07,Customer Service,600,355
2024-01-07,Escalations,69,745
2024-01-07,Technical Support,240,595
2024-01-08,Claims,921,462
2024-01-08,Billing,794,313
2024-01-08,Customer Service,1215,371
2024-01-08,Escalations,161,737
2024-01-08,Technical Support,549,626
2024-01-09,Claims,1036,443
2024-01-09,Billing,758,291
2024-01-09,Customer Service,1368,356
2024-01-09,Escalations,168,733
2024-01-09,Technical Support,457,593
2024-01-10,Claims,842,474
2024-01-10,Billing,658,322
2024-01-10,Customer Service,1368,334
2024-01-10,Escalations,162,671
2024-01-10,Technical Support,406,596
2024-01-11,Claims,873,457
2024-01-11,Billing,631,292
2024-01-11,Customer Service,1136,374
2024-01-11,Escalations,158,715
2024-01-11,Technical Support,488,601
2024-01-12,Claims,823,418
2024-01-12,Billing,546,280
2024-01-12,Customer Service,1055,355
2024-01-12,Escalations,139,625
2024-01-12,Technical Support,437,630
2024-01-13,Claims,573,446
2024-01-13,Billing,449,349
2024-01-13,Customer Service,767,390
2024-01-13,Escalations,95,694
