date,shrinkage_pct
2024-01-01,0.2932
2024-01-02,0.2887
2024-01-03,0.3034
2024-01-04,0.2708
2024-01-05,0.2832
2024-01-06,0.3231
2024-01-07,0.2861
2024-01-08,0.3187
2024-01-09,0.3053
2024-01-10,0.2729
2024-01-11,0.3095
2024-01-12,0.2982
2024-01-13,0.2932
2024-01-14,0.3037
2024-01-15,0.3071
2024-01-16,0.3106
2024-01-17,0.3177
2024-01-18,0.3061
2024-01-19,0.2794
2024-01-20,0.2929
2024-01-21,0.3441
2024-01-22,0.3109
2024-01-23,0.3355
2024-01-24,0.3209
2024-01-25,0.3036
2024-01-26,0.3045
2024-01-27,0.2995
2024-01-28,0.2739
2024-01-29,0.3003
2024-01-30,0.3182
2024-01-31,0.291
2024-02-01,0.3062
2024-02-02,0.3128
2024-02-03,0.2864
2024-02-04,0.2932
2024-02-05,0.2847
2024-02-06,0.2877
2024-02-07,0.2807
2024-02-08,0.2865
2024-02-09,0.3213
2024-02-10,0.2863
2024-02-11,0.3019
2024-02-12,0.2925
2024-02-13,0.3177
2024-02-14,0.3197
2024-02-15,0.313
2024-02-16,0.3046
2024-02-17,0.2965
2024-02-18,0.2821
2024-02-19,0.3292
2024-02-20,0.2886
2024-02-21,0.31
2024-02-22,0.3159
2024-02-23,0.2917
2024-02-24,0.3156
2024-02-25,0.3115
2024-02-26,0.3259
2024-02-27,0.293
2024-02-28,0.2807
2024-02-29,0.2924
2024-03-01,0.3031
2024-03-02,0.3009
2024-03-03,0.2941
2024-03-04,0.2714
2024-03-05,0.3071
2024-03-06,0.3296
2024-03-07,0.307
2024-03-08,0.3091
2024-03-09,0.3086
2024-03-10,0.306
2024-03-11,0.314
2024-03-12,0.3059
2024-03-13,0.2953
2024-03-14,0.2881
2024-03-15,0.2963
2024-03-16,0.3047
2024-03-17,0.2953
2024-03-18,0.3047
2024-03-19,0.3066
2024-03-20,0.3125
2024-03-21,0.3192
2024-03-22,0.3012
2024-03-23,0.2804
2024-03-24,0.2948
2024-03-25,0.3007
2024-03-26,0.2725
2024-03-27,0.3208
2024-03-28,0.3021
2024-03-29,0.3057
2024-03-30,0.3205
2024-03-31,0.2905
2024-04-01,0.3086
2024-04-02,0.2984
2024-04-03,0.2972
2024-04-04,0.2884
2024-04-05,0.325
2024-04-06,0.2944
2024-04-07,0.3105
2024-04-08,0.2719
2024-04-09,0.3177
2024-04-10,0.3158
2024-04-11,0.3015
2024-04-12,0.2966
2024-04-13,0.306
2024-04-14,0.3343
2024-04-15,0.2736
2024-04-16,0.3117
2024-04-17,0.2863
2024-04-18,0.2997
2024-04-19,0.2963
2024-04-20,0.2936
2024-04-21,0.2998
2024-04-22,0.283
2024-04-23,0.3154
2024-04-24,0.2731
2024-04-25,0.3081
2024-04-26,0.2951
2024-04-27,0.2824
2024-04-28,0.303
2024-04-29,0.2766
2024-04-30,0.3006
2024-05-01,0.2787
2024-05-02,0.3069
2024-05-03,0.2861
2024-05-04,0.2932
2024-05-05,0.3044
2024-05-06,0.2884
2024-05-07,0.2991
2024-05-08,0.2773
2024-05-09,0.3095
2024-05-10,0.3265
2024-05-11,0.3419
2024-05-12,0.3014
2024-05-13,0.3118
2024-05-14,0.2733
2024-05-15,0.3225
2024-05-16,0.3116
2024-05-17,0.2927
2024-05-18,0.3186
2024-05-19,0.2962
2024-05-20,0.2931
2024-05-21,0.3071
2024-05-22,0.284
2024-05-23,0.3153
2024-05-24,0.2842
2024-05-25,0.2842
2024-05-26,0.2864
2024-05-27,0.3114
2024-05-28,0.2907
2024-05-29,0.2798
2024-05-30,0.2909
2024-05-31,0.2995
2024-06-01,0.2923
2024-06-02,0.2927
2024-06-03,0.3417
2024-06-04,0.2971
2024-06-05,0.3052
2024-06-06,0.3045
2024-06-07,0.3037
2024-06-08,0.3193
2024-06-09,0.3242
2024-06-10,0.3054
2024-06-11,0.2915
2024-06-12,0.3291
2024-06-13,0.3086
2024-06-14,0.336
2024-06-15,0.2763
2024-06-16,0.3129
2024-06-17,0.3388
2024-06-18,0.3047
2024-06-19,0.3066
2024-06-20,0.3144
2024-06-21,0.3016
2024-06-22,0.3053
2024-06-23,0.3049
2024-06-24,0.3006
2024-06-25,0.3284
2024-06-26,0.3169
2024-06-27,0.3138
2024-06-28,0.3221
2024-06-29,0.306
2024-06-30,0.2984
2024-07-01,0.301
2024-07-02,0.31
2024-07-03,0.2941
2024-07-04,0.3025
2024-07-05,0.3023
2024-07-06,0.3419
2024-07-07,0.2684
2024-07-08,0.3073
2024-07-09,0.3359
2024-07-10,0.3118
2024-07-11,0.3213
2024-07-12,0.3115
2024-07-13,0.3
2024-07-14,0.2764
2024-07-15,0.3131
2024-07-16,0.2984
2024-07-17,0.298
2024-07-18,0.3025
2024-07-19,0.3362
2024-07-20,0.3461
2024-07-21,0.3133
2024-07-22,0.303
2024-07-23,0.2923
2024-07-24,0.317
2024-07-25,0.3367
2024-07-26,0.3063
2024-07-27,0.2743
2024-07-28,0.3201
2024-07-29,0.3248
2024-07-30,0.2862
2024-07-31,0.3126
2024-08-01,0.3168
2024-08-02,0.3089
2024-08-03,0.2981
2024-08-04,0.3252
2024-08-05,0.3039
2024-08-06,0.2877
2024-08-07,0.2793
2024-08-08,0.3289
2024-08-09,0.3192
2024-08-10,0.3113
2024-08-11,0.3034
2024-08-12,0.3021
2024-08-13,0.2939
2024-08-14,0.3035
2024-08-15,0.2782
2024-08-16,0.299
2024-08-17,0.3053
2024-08-18,0.3191
2024-08-19,0.3094
2024-08-20,0.3219
2024-08-21,0.3302
2024-08-22,0.3259
2024-08-23,0.3171
2024-08-24,0.3102
2024-08-25,0.2953
2024-08-26,0.3211
2024-08-27,0.3352
2024-08-28,0.3151
2024-08-29,0.3388
2024-08-30,0.2871
2024-08-31,0.2927
2024-09-01,0.3128
2024-09-02,0.304
2024-09-03,0.3197
2024-09-04,0.2998
2024-09-05,0.287
2024-09-06,0.2968
2024-09-07,0.277
2024-09-08,0.2831
2024-09-09,0.3146
2024-09-10,0.3131
2024-09-11,0.3054
2024-09-12,0.2742
2024-09-13,0.2946
2024-09-14,0.2816
2024-09-15,0.3176
2024-09-16,0.2912
2024-09-17,0.2837
2024-09-18,0.3004
2024-09-19,0.2904
2024-09-20,0.3223
2024-09-21,0.289
2024-09-22,0.279
2024-09-23,0.2677
2024-09-24,0.2995
2024-09-25,0.2916
2024-09-26,0.2786
2024-09-27,0.3178
2024-09-28,0.31
2024-09-29,0.2996
2024-09-30,0.3205
2024-10-01,0.3099
2024-10-02,0.2877
2024-10-03,0.2844
2024-10-04,0.3123
2024-10-05,0.3059
2024-10-06,0.3025
2024-10-07,0.2873
2024-10-08,0.3091
2024-10-09,0.2887
2024-10-10,0.2985
